Account Name,Industry,Employee range,State (Bill to Address) (Address),Website,Main Phone,LinkedIn Company ID,SFDC ID
Jenkins Restorations Inc,Construction,10-Feb,VA,https://jenkinsrestorations.com,+1 540-898-6809,3150362,00160000019Gg3kAAC
"Eig Global Energy Partners, LLC",Investment Management,51-200,DC,http://www.eigpartners.com/,+1 202-600-3300,1674540,0013200001A3rQMAAZ
SA Hockey Associates LLC,Spectator Sports,Nov-50,PA,http://www.royalshockey.com,+1 610-898-7825,1275029,0013200001A3sDEAAZ
Whitefish Mountain Resort Lodging,Travel Arrangements,10-Feb,MT,http://www.skiwhitefish.com,+1 406-862-3687,487638,0016000000m2i1EAAQ
Blistex Inc.,Manufacturing,51-200,IL,http://www.blistex.com,+1 630-571-2870,51209,0016000000NaPmKAAV
Orangewood Labs,Automation Machinery Manufacturing,10-Feb,CA,http://www.orangewood.co,+1 425-589-2500,13625080,0010d00001KNrorAAD
Bajco Global Management LLC,Business Consulting and Services,1001-5000,OH,http://www.bajco.net,+1 330-533-0900,8597911,0013200001GokoCAAR
Ascendeum Co,Advertising Services,10-Feb,NJ,http://ascendeum.com,+1 609-558-3935,9496586,0013200001GODxQAAX
Revery Studios,"Movies, Videos, and Sound",10-Feb,OR,http://www.revery.is,+1 503-568-1498,18176751,0010d00001Kfh0iAAB
"Lifetime, L.L.C.",Manufacturing,1001-5000,UT,http://www.lifetime.com,+1 801-776-1532,35032,0016000000Q8I8LAAV
Gemtec Limited,Civil Engineering,201-500,NB,https://www.gemtec.ca/,+1 506-453-1025,1858670,0016000000m2lpOAAQ
"Crocker Partners, Inc.",Real Estate,10-Feb,FL,http://www.crockerpartners.com,+1 561-447-1801,141472,0016000000snVcBAAU
Kelly Spicers,Paper and Forest Product Manufacturing,10001+,CA,https://kellyspicers.com,+1 833-211-6705,127895,00160000014CB35AAG
"Kech, Inc.",IT Services and IT Consulting,10-Feb,KY,http://www.kechco.com/,+1 704-658-7595,11175265,0010d00001LAvKiAAL
Wolfgang Puck,Food and Beverage Services,Nov-50,CA,http://www.wolfgangpuck.com,+1 866-444-4033,4722948,0013200001I87FlAAJ
Adion Systems Inc,Software Development,Nov-50,BC,http://www.proshoperp.com,+1 604-564-6121,10267363,0010d00001JnsuoAAB
"Dharam, Lally and Smith LLC",Construction,Nov-50,NY,http://www.dharamconsulting.com,+1 862-208-8206,9378013,0010d00001MDH2FAAX
"Redi-Direct Marketing, Inc.",Software Development,501-1000,NJ,http://www.redidirect.com,+1 973-808-4500,6311802,0010d00001ME4AcAAL
The Sociable Society,Advertising Services,10-Feb,CA,http://www.thesociablesociety.com,,6648271,0010d00001MDfdKAAT
"Idk Distribution, Inc",Venture Capital and Private Equity Principals,Nov-50,NY,http://www.idk.com,+1 800-793-9322,18348749,0010d00001MEAQyAAP
Texas HBSA,Non-profit Organizations,51-200,TX,https://www.texashbsa.com/,,28657073,0010d00001ME2VOAA1
IDS Inc,Truck Transportation,10-Feb,IN,http://idstransportation.com,+1 317-208-5565,7111433,0010d00001MD2IsAAL
Mad Cave Studios,Book and Periodical Publishing,10-Feb,FL,https://madcavestudios.com/,+1 786-310-7567,28145549,0010d00001MD98bAAD
Premier Agent Network Inc.,Real Estate,201-500,CA,https://premieragentnetwork.com,+1 877-663-9366,15624237,0010d00001MEEPpAAP
Redbird Capital Partners LLC,Financial Services,Nov-50,NY,http://www.redbirdcap.com,+1 646-342-8087,9298002,0010d00001MD0WoAAL
"Liquid Instruments, Inc.","Appliances, Electrical, and Electronics Manufacturing",Nov-50,CA,http://www.liquidinstruments.com,+1 619-332-6230,12870079,0010d00001N1jAxAAJ
Softstandard Solutions Llc.,IT Services and IT Consulting,10-Feb,NJ,http://softstandard.com,+1 929-242-9339,10040087,0010d00001NjyvvAAB
Mixlab Inc,Pharmaceutical Manufacturing,10-Feb,NY,http://www.mixlabrx.com,+1 888-901-4480,11157332,0010d00001NkCnuAAF
"Alleviate Tax, LLC",Financial Services,1,CA,http://www.alleviatetax.com,+1 888-859-8291,18614132,0010d00001QvhbXAAR
"Planet Depos, LLC",Legal Services,51-200,DC,https://www.planetdepos.com,+1 888-433-3767,1049635,0016000000lcTHCAA2
"University of Toronto Engineering Society, The",Non-profit Organizations,51-200,ON,http://skule.ca/,+1 416-978-2917,827500,0016000000lcdmDAAQ
"Tibi, LLC",Retail Apparel and Fashion,51-200,NY,http://www.tibi.com,+1 212-966-3773,1490007,0016000000m2K1NAAU
"Syfan Logistics, Inc.",Truck Transportation,201-500,GA,http://www.syfanlogistics.com,+1 770-287-8485,2291196,0016000000m2TP1AAM
Rob Levine & Associates Ltd,Law Practice,10-Feb,RI,http://www.roblevine.com,+1 401-621-7000,698449,0016000000m2Zu4AAE
Greenlight Innovation Corporation,Machinery Manufacturing,Nov-50,BC,http://www.greenlightinnovation.com,+1 604-676-4000,330380,0016000000m2eqqAAA
Harper Grey LLP,Legal Services,51-200,BC,http://www.harpergrey.com,+1 604-687-0411,143149,0016000000m3DwiAAE
The First National Bank and Trust Company,Banking,51-200,WI,http://bankatfirstnational.com,+1 800-667-4401,957193,0016000000m3OmPAAU
"Hoffmann Brothers Heating and Air Conditioning, Inc.",Construction,Nov-50,MO,http://www.HoffmannBros.com,+1 314-664-3011,619843,0013200001BxrHrAAJ
"Pda-In-Liquidation, Inc.",Automation Machinery Manufacturing,Nov-50,PA,http://www.processanddata.com,+1 814-866-9600,2439573,0013200001Bxr4ZAAR
"Interstate Hotels & Resorts, Inc.",Hospitality,10001+,FL,http://www.doubletreeorlando.com,+1 407-351-1000,285986,0013200001Bxxc5AAB
Vivax Pro Painting,Construction,51-200,CO,http://www.vivaxpros.com,+1 720-331-9735,991405,0016000000m3jvRAAQ
"R.I.M. Logistics, Ltd.","Transportation, Logistics, Supply Chain and Storage",201-500,IL,http://www.rimlogistics.com,+1 630-595-0610,311669,0016000000m416lAAA
Citation Oil & Gas Corp.,Oil and Gas,501-1000,TX,http://www.cogc.com,+1 281-891-1000,113442,0016000000m44tkAAA
Pliteq Inc,Wholesale Building Materials,201-500,ON,http://www.pliteq.com/,+1 416-449-0049,30677838,0013200001By6U4AAJ
"Soho Experiential, LLC",Advertising Services,1001-5000,NY,http://www.sohoexp.com,+1 212-680-4220,127632,0016000000m45XsAAI
RedTeam Software,Software Development,10-Feb,FL,https://www.redteam.com/,+1 866-432-2021,294544,0013200001By78SAAR
Stars & Strikes Family Entertainment,Entertainment Providers,Nov-50,GA,http://www.starsandstrikes.com,+1 678-965-5707,3882523,0013200001By7zcAAB
"UNITED LEASING, INC.",Financial Services,1001-5000,IN,http://www.unitedleasingandfinance.com,+1 812-479-0231,242141,0016000000slBSmAAM
Fab'rik Boutique,Retail Apparel and Fashion,10-Feb,GA,http://www.fabrikstyle.com,+1 404-685-8595,910123,0016000000m47mwAAA
ASAP INC.,Hospitality,10001+,LA,http://waitrapp.com,+1 800-661-9036,9426661,0013200001DtddUAAR
Maune Raichle Law Firm,Law Practice,1,MO,http://www.mrhfmlawfirm.com/,+1 314-241-2003,2211090,0016000000snTycAAE
"Morrison, Ekre & Bart Management Services, Inc.",Real Estate,201-500,AZ,http://www.mebapts.com,+1 520-620-1640,17967,0016000000snWOXAA2
Archmill House Inc,Construction,Nov-50,ON,http://www.archmillhouse.com,+1 905-648-0278,3638853,00160000012fS4rAAE
Magnum Cementing Services Ltd,Oil and Gas,10-Feb,AB,http://www.magnumcement.ca,+1 403-934-9458,3543052,00160000019Gg8BAAS
Bergey's Chevrolet Inc,Motor Vehicle Manufacturing,1001-5000,PA,http://www.bergeys.com,+1 267-953-4216,1008594,00160000014BshuAAC
"Empire Auto Parts, Inc.",Motor Vehicle Manufacturing,10-Feb,NJ,http://www.empireauto.biz,+1 973-772-4206,1163797,00160000014BtZYAA0
Sugar Bowl Ski Resort,Travel Arrangements,Nov-50,CA,http://www.sugarbowl.com/home,+1 530-426-3651,3259860,0013200001A3roHAAR
Kit and Ace Technical Apparel Inc,Retail Apparel and Fashion,Nov-50,BC,http://www.kitandace.com,+1 778-239-5426,3714005,00160000015mq86AAA
Power Plus,Construction,10-Feb,CA,http://www.powerplus.com,+1 800-863-2525,105441,0016000000T9THiAAN
VSC CONSULTING SERVICE IN,Public Relations and Communications Services,10-Feb,CA,http://www.vscpr.com,+1 415-869-8629,109268,0016000000UiB1RAAV
Prince Lobel Tye LLP,Law Practice,51-200,MA,http://www.PrinceLobel.com,+1 617-456-8000,60681,0016000000VuwN7AAJ
SU Investment Club,Financial Services,Nov-50,NY,http://suinvestmentclub.com,+1 315-443-1377,10988977,0010d00001Kg2YEAAZ
Hyly Inc,IT Services and IT Consulting,10-Feb,VA,http://hy.ly,+1 516-495-9462,903288,0010d00001Kg3jnAAB
Ballston Spa National Bank,Banking,51-200,NY,http://www.bsnb.com,+1 518-363-8150,98951,0016000000m47euAAA
"Govx, Inc.","Technology, Information and Internet",51-200,CA,http://www.govx.com,+1 888-468-5511,2086671,0013200001BI2CZAA1
"Know Ink, LLC",Information Technology & Services,51-200,MO,http://knowink.com,+1 855-765-5723,79853420,0013200001Glo9SAAR
TurnoverBnB,"Technology, Information and Internet",51-200,CA,https://turno.com,,18097583,0010d00001LAqGvAAL
Ripco Real Estate Corp,Real Estate,51-200,NY,http://www.ripcony.com,+1 212-750-6565,1246627,0016000000m47MCAAY
"Western States Lodging, LLC",Hospitality,501-1000,UT,http://wslm.biz/,+1 801-269-0700,4533423,0013200001By0i5AAB
Optis Consulting Network Inc,Business Consulting and Services,Nov-50,BC,http://optisconsulting.com/,+1 844-446-7847,2619215,0013200001GmmoyAAB
Lane Four,IT Services and IT Consulting,51-200,ON,http://www.lanefour.com/,,15180630,0013200001I996IAAR
The Kitchen Cafe LLC,Restaurants,501-1000,CO,http://thekitchen.com/restaurants,+1 303-544-5973,3567067,0010d00001LAlebAAD
"DROPP TV, INC.","Technology, Information and Internet",10-Feb,NY,http://www.dropp.tv,+1 929-359-3577,11495885,0010d00001ME8fCAAT
Strada Services Inc.,Construction,51-200,FL,https://stradaservices.com/,+1 860-200-2854,16155009,0010d00001MCzqwAAD
NBM Engineering Inc,Civil Engineering,51-200,ON,http://www.nbmengineering.com/,+1 905-845-7770,11776591,0010d00001MEDlpAAH
Matrix Sciences Inc.,Food and Beverage Services,51-200,IL,http://www.matrixsciences.com,+1 847-272-8700,27101142,0010d00001NdtLqAAJ
Side Inc,Real Estate,10-Feb,CA,http://www.sideinc.com,,17984664,0010d00001OjZrSAAV
"Coterie Baby, Inc.",Manufacturing,10-Feb,NY,http://www.coterie.com,+1 917-566-9386,10138587,0010d00001QvZMaAAN
"Brimstone Energy, Inc.",Chemical Manufacturing,1,CA,www.brimstone.com,+1 714-930-6288,20343372,0010d00001QvfhRAAR
"Wardlaw Claims Service, LLP",Insurance,Nov-50,TX,http://www.wardlawclaims.com,+1 254-772-6055,2103986,0016000000lc7IjAAI
Streamline Healthcare Solutions LLC,Software Development,51-200,MI,http://www.streamlinehealthcare.com,+1 877-467-4741,290925,0016000000lcJ7BAAU
"Western Industrial Contractors, Inc.",Automation Machinery Manufacturing,201-500,CO,http://www.westerncon.com,+1 303-371-3714,271672,0016000000lcXnAAAU
The Paquin Entertainment Group Inc,Entertainment Providers,Nov-50,MB,http://www.paquinentertainment.com/,+1 204-988-1120,120512,0016000000lcwQEAAY
Accuity LLP,Accounting,Nov-50,HI,https://accuityllp.com,+1 808-531-3400,304844,0016000000ld1rmAAA
"Masters Gallery Foods, Incorporated",Food and Beverage Manufacturing,201-500,WI,http://www.mastersgalleryfoods.com,+1 920-893-8431,989743,0016000000ld0mTAAQ
Joe's Brewery,Food and Beverage Services,Nov-50,IL,http://www.joesbrewery.com,+1 217-384-1790,2119423,0013200001BsqkUAAR
Reservoir Communications Group,Public Relations and Communications Services,10-Feb,DC,http://www.reservoircg.com,+1 202-499-2050,9290764,0013200001BsvwpAAB
The Scout Guide,Book and Periodical Publishing,10-Feb,VA,http://thescoutguide.com,+1 434-244-2817,3673025,0013200001BxJS2AAN
1504953 Alberta Ltd,Hospitality,201-500,AB,http://www.hotelarts.ca,+1 403-266-7683,652886,0016000000m30dXAAQ
U. E. Systems Incorporated,Industrial Machinery Manufacturing,Nov-50,NY,http://uesystems.com,+1 914-592-1220,382633,0016000000m33QRAAY
4 Leaf Inc,Construction,51-200,CA,http://www.4leafinc.com,+1 925-462-5959,3914899,0013200001BxrabAAB
"Naumann/Hobbs Material Handling Corp. II, Inc",Machinery Manufacturing,201-500,AZ,http://www.performancepeople.com,+1 602-437-1331,278214,0016000000vcRp4AAE
"King Law Offices, Pllc",Law Practice,51-200,NC,http://kinglawoffices.com,+1 828-286-3332,2788180,0013200001By21zAAB
Four Corners Tavern Group,Restaurants,10-Feb,IL,http://www.4cbars.com,+1 773-528-2240,213791,0016000000m466YAAQ
"Yhlsoft, Inc.",Financial Services,10-Feb,IL,http://www.advyzon.com,+1 844-829-0039,3689308,0013200001ByGF8AAN
"Horizon Realty Advisors, A Limited Liability Company",Real Estate,10-Feb,WA,http://www.horizonra.com/,+1 206-352-9500,3829698,0013200001COarWAAT
"Agendia, Inc.",Hospitals and Health Care,51-200,CA,www.agendia.com,+1 888-321-2732,,0016000000nfgdUAAQ
"Business Interactions, LLC",Software Development,10-Feb,IN,https://www.harmonyhit.com/,+1 574-314-9302,278313,0013200001Eli85AAB
"J. M. Brennan, Inc.",Construction,51-200,WI,http://www.jmbrennan.com,+1 414-342-3829,248977,0016000000skUTvAAM
"Zerocater, Inc.",Food and Beverage Services,Nov-50,CA,https://zerocater.com,+1 844-229-9376,1690951,0016000000zjzqcAAA
"MEB General Contractors, Inc.",Construction,201-500,VA,https://www.meb.group,+1 757-487-5858,1600763,00160000010sKuhAAE
"Direct Image and Design, LLC",Advertising Services,51-200,PA,http://didagency.com/,+1 215-619-8650,347276,00160000018krTTAAY
"Sheret, Andrew Limited",Wholesale,201-500,BC,http://www.sheret.com,+1 250-386-7744,2854139,00160000013TcBsAAK
The Eastern Company,Machinery Manufacturing,1001-5000,CT,http://easterncompany.com,+1 203-729-2255,11043167,0013200001A3pHjAAJ
"Gems Motorsports, LP",Spectator Sports,51-200,NC,http://www.richardpettymotorsports.com,+1 704-924-9404,1407766,00160000014BvrDAAS
Cleary Building Corp,Construction,501-1000,IL,http://www.clearybuilding.com,+1 217-285-6482,532011,0016000000T9U3uAAF
The Temple News,Newspaper Publishing,Nov-50,PA,http://temple-news.com,+1 215-204-6737,554966,0016000000V7avvAAB
Annex Student Living,Real Estate,10-Feb,IN,http://www.theannexgrp.com,+1 317-584-8442,9274633,0010d00001JSdq1AAD
"Algomus, Inc.",Software Development,10-Feb,MI,https://algo.com,+1 601-340-4297,18127337,0010d00001JSbtKAAT
App Orchid Inc.,Software Development,51-200,CA,http://www.apporchid.com,+1 650-291-2924,3714314,0010d00001Jk1LoAAJ
Tony's Fresh Market,Retail,Nov-50,IL,http://www.tonysfreshmarket.com,+1 630-735-6760,10359604,0013200001Gp8AQAAZ
Cameron Stephens Mortgage Capital Ltd,Financial Services,Nov-50,ON,http://www.cameronstephens.com/,+1 416-591-8787,2084775,00160000013TYIXAA4
DMB Community Life Inc.,,10-Feb,AZ,http://www.dmbcommunitylife.com,+1 480-367-2626,,0010d00001LAqa4AAD
Nellis Auction,Wholesale,Nov-50,NV,http://www.NellisAuction.com,+1 702-531-1300,2899299,0010d00001KfaNmAAJ
Nexla Inc,IT Services and IT Consulting,Nov-50,CA,http://www.nexla.com/,+1 650-678-5467,7957867,0013200001I7zOMAAZ
"Wanhua Chemical (America) Co., Ltd.",Plastics Manufacturing,10001+,PA,http://www.whchem.com/en,+1 613-796-1606,58035835,0010d00001KduqmAAB
"McFarland Building Group, LLC",Construction,10-Feb,NC,http://mcfarlandconstructionus.com,+1 980-949-6226,16174187,0010d00001LAlTIAA1
Ramos Law,Law Practice,10-Feb,CO,http://www.ramoslaw.com,+1 303-309-4229,2788357,0010d00001MDENWAA5
"Sherpa 6, Inc.",IT Services and IT Consulting,Nov-50,CO,https://www.sherpa6.com,+1 253-306-4470,28178436,0010d00001ME5gJAAT
Portico Property Management,Real Estate,10-Feb,TX,http://www.porticopm.com,+1 888-298-9450,27196316,0010d00001MD4YbAAL
Envy Clothing Company,Retail,10-Feb,NOVA SCOTIA,http://www.envyclothing.ca/,+1 902-422-3033,11410145,0010d00001MDAdIAAX
Jubilee Media,Online Audio and Video Media,Nov-50,CA,http://www.jubileemedia.com,,18108200,0010d00001MDhcmAAD
Rise North Capital LLC,Financial Services,10-Feb,MA,http://www.risenorthcapital.com,+1 781-519-6969,19220333,0010d00001QvMWWAA3
True North Mortgage Inc,Financial Services,10-Feb,AB,http://www.truenorthmortgage.ca,+1 403-248-6677,672847,0016000000lcEvbAAE
"Modus Create, Inc.",IT Services and IT Consulting,Nov-50,VA,https://www.moduscreate.com,+1 855-663-8727,1988641,0016000000lcIosAAE
Solunus Inc,IT Services and IT Consulting,Nov-50,TX,http://www.solunus.com,+1 214-200-4800,7943081,0010d00001KNi4oAAD
"Advantage Surveillance, LLC",Security and Investigations,Nov-50,NC,https://www.advantagesurveillance.net,+1 888-696-3669,1036417,0016000000m2eqCAAQ
"Gener8, LLC","Appliances, Electrical, and Electronics Manufacturing",201-500,CA,http://www.gener8.net,+1 650-940-9898,784761,0016000000m2eqkAAA
"Wells Pharmacy, Inc",Pharmaceutical Manufacturing,51-200,FL,http://www.wellsrx.com,+1 800-622-4510,2609693,0013200001Bsvw6AAB
Advenir Real Estate Managment,Real Estate,Nov-50,FL,http://www.AdvenirLiving.com,+1 305-948-3535,5000849,0013200001Bt1LjAAJ
Techmation Electric & Controls Ltd,Oil and Gas,1001-5000,AB,http://www.techmationelectric.com,+1 403-243-0990,1850068,0016000000m2xAfAAI
The Piedmont Group of Atlanta LLC,Financial Services,Nov-50,GA,http://www.thepiedmontgroups.com,+1 770-551-3400,2773861,0013200001BxJdCAAV
"Winston Water Cooler, Ltd.",Wholesale,Nov-50,TX,http://www.winstonwatercooler.com,+1 214-748-1484,2215387,0013200001Bxo0zAAB
"OLD EDWARDS HOSPITALITY GROUP, LLC",Hospitality,51-200,NC,http://www.oldedwardsinn.com,+1 828-526-8008,454140,0016000000m3SE9AAM
Ritz Messwandler,"Appliances, Electrical, and Electronics Manufacturing",501-1000,GA,http://ritz-international.com,+1 706-356-7180,18385541,0013200001BxqyqAAB
Flodraulic Group Incorporated,Automation Machinery Manufacturing,51-200,IN,http://www.flodraulic.com,+1 832-327-1500,720129,0016000000m3c9NAAQ
First State Bank Gainesville (inc),Banking,51-200,TX,https://www.firststate.bank,+1 940-665-1711,374617,0016000000m3qHkAAI
"Olympia Equity Investors V, LLC",Hospitality,1001-5000,ME,http://www.theolympiacompanies.com,+1 207-874-9990,5146892,0013200001By0trAAB
Craneworks Inc.,Industrial Machinery Manufacturing,51-200,TX,https://www.Crane-Works.com,+1 281-219-7779,683324,0016000000m3vunAAA
Hideaway-2 Inc,Restaurants,501-1000,OK,http://www.hideawaypizza.com/,+1 918-627-7447,4114629,0013200001By42PAAR
Sunshine Bouquet Company,Wholesale,51-200,NJ,www.sunshinebouquet.com,+1 732-274-2900,128735,0016000000m45h0AAA
"Carlson, Inc.",Hospitality,10001+,MN,http://www.carlson.com/,+1 763-762-2222,8335774,0013200001EjbALAAZ
"Cabka North America, Inc.",Plastics Manufacturing,51-200,MO,http://www.cabka.com,+1 314-731-0302,2580386,0016000000skOa6AAE
Farmington Country Club,Hospitality,201-500,VA,http://www.farmingtoncc.com,+1 434-296-5661,89944,0016000000skRw7AAE
AMC Bridge Limited Liability Company,Software Development,201-500,MA,http://www.amcbridge.com,+1 866-575-4791,2689378,0016000000skSQ0AAM
Fyi Public Relations,Advertising Services,10-Feb,NY,http://www.fyibrandgroup.com,+1 212-586-2240,4579980,0010d00001JlkNYAAZ
"Delta Associated Investigations, Inc.",Security and Investigations,51-200,GA,http://www.deltagroup.net,+1 800-329-4143,1037975,0016000000skUbFAAU
"Teague Nall and Perkins, Inc.",Civil Engineering,51-200,TX,http://www.tnpinc.com,+1 817-336-5773,1010515,0016000000slBnJAAU
Praesidium Inc,Business Consulting and Services,Nov-50,TX,http://www.praesidiuminc.com,+1 817-801-7773,211135,0016000000zl250AAA
PressReader Inc,"Technology, Information and Internet",Nov-50,BC,http://about.pressreader.com,+1 604-278-4604,52964,0016000000vv4vAAAQ
Kingsview LLC,Financial Services,10-Feb,IL,http://www.kingsview.com,+1 312-870-6701,1953574,0016000000xh1UqAAI
Urban Electric Company,Retail Luxury Goods and Jewelry,Nov-50,SC,http://www.urbanelectricco.com,+1 843-723-8140,2029418,0016000000xjHk2AAE
Cober Printing Limited,Printing Services,51-200,ON,http://www.cobersolutions.com,+1 519-745-7136,1346215,00160000013TgCGAA0
Kiawah Island Real Estate,Hospitality,Nov-50,SC,http://www.kiawahislandclub.com,+1 843-768-6120,3056539,001600000173nZYAAY
8199400 Canada Inc,Airlines and Aviation,51-200,NT,http://flysummitair.com/,+1 867-669-9789,378948,00160000013TYXuAAO
Bousfields Inc.,Architecture and Planning,Nov-50,ON,http://www.bousfields.ca,+1 416-947-9744,5114586,00160000017btrvAAA
"Gensco, Inc.",Wholesale,201-500,WA,http://www.gensco.com,+1 253-620-8203,1356805,00160000013TpIjAAK
McLaughlin Research Corporation,Defense and Space Manufacturing,51-200,CT,http://www.mrcds.com,+1 860-447-2298,1326046,00160000019GfPUAA0
Bread & Butter Bytes,Public Relations and Communications Services,Nov-50,CA,http://www.breadandbutterpr.com/,+1 213-739-7985,3228457,00160000019GfPPAA0
The Cafaro Company,Leasing Non-residential Real Estate,201-500,OH,http://www.cafarocompany.com,+1 330-747-2661,1282766,00160000014BwRYAA0
"Infinite Agency, LLC",Advertising Services,10-Feb,TX,https://theinfiniteagency.com,+1 469-310-5870,2504997,00160000019GfvdAAC
Field LLP,Legal Services,201-500,AB,https://www.fieldlaw.com,+1 780-423-3003,869300,0016000000m2jb0AAA
"Zspace, Inc.",Computer Hardware Manufacturing,51-200,CA,http://zspace.com,+1 408-498-4050,63792,0016000000m459zAAA
Cactus Communications Inc.,Advertising Services,Nov-50,CO,http://www.cactusinc.com,+1 303-455-7545,73630,0016000000V7aQ8AAJ
Ryzlink Corp.,IT Services and IT Consulting,Nov-50,CA,www.ryzlink.com,+1 510-296-5433,1219543,0016000000slCqSAAU
Logiwa Corp,IT Services and IT Consulting,10-Feb,IL,http://www.logiwa.com,+1 312-731-1924,858615,0010d00001LDKX1AAP
"Speechify, Inc.",Software Development,1,CA,http://getspeechify.com,+1 415-306-6429,11111093,0010d00001LAU0FAAX
The Five Star Travel Corporation,Hospitality,51-200,GA,http://www.ForbesTravelGuide.com,+1 833-227-3454,1207367,0016000000m45YnAAI
Yager Group,E-Learning Providers,10001+,SC,http://ibocity.com,fXUhj2H72ppSYo7-TMgOirVJF2WQ3hYN0ksajwAA,15353879,0010d00001LAaeWAAT
"Infrrd, Inc.",Software Development,Nov-50,CA,https://www.infrrd.ai,+1 844-446-3773,16189247,0010d00001LXlqMAAT
"Commerce Banc Insurance Services, Inc.",Insurance,10001+,NJ,,+1 732-736-5200,35890,00160000014CB87AAG
Stay At Home Parents LLC,Farming,10-Feb,FL,stay-at-home-parents-llc.business.site,+1 352-681-1923,1676452,0013200001A3rdRAAR
Teravision Games LLC,Computer Games,10-Feb,FL,http://www.teravisiongames.com,+1 786-534-9931,550223,0016000000m4J3gAAE
Amenify Corporation,Real Estate,Nov-50,CA,http://www.Amenify.com,+1 877-824-5315,10624425,0013200001HVTkEAAX
Up In Code Inc.,Software Development,51-200,AB,http://www.showpass.com,+1 403-993-5961,10643466,0013200001HVdXJAA1
Iqbal Halal Foods Inc,Food and Beverage Services,Nov-50,ON,http://iqbalfoods.ca,+1 416-467-0177,7299886,0010d00001KfbBlAAJ
Waterloo-Wellington Flying Club,Airlines and Aviation,Nov-50,ON,http://www.wwfc.ca/,+1 519-648-2213,10101911,0010d00001JnDIlAAN
4th-IR,IT Services and IT Consulting,10-Feb,MI,http://4th-ir.com,+1 989-402-5441,22344581,0010d00001LAz5NAAT
Midwest Pipelines Inc.,Construction,201-500,ALBERTA,http://www.midwestpipelines.com,+1 780-454-1993,77738714,0010d00001JvAZ9AAN
RadiusAI Inc.,Software Development,10-Feb,AZ,http://www.radiusai.com,+1 602-329-5000,18611622,0010d00001MDJ6RAAX
BioTuring,Biotechnology Research,10-Feb,CA,http://www.bioturing.com,+1 760-804-6980,18431259,0010d00001MDnkAAAT
"Ascent Hospitality Management Co., L.L.C.",Hospitality,1001-5000,GA,http://www.ascent-hospitality.com,+1 770-904-0765,10433598,0010d00001MDpkSAAT
Hamilton Point Investments LLC,Real Estate,10-Feb,CT,http://www.hamiltonptinv.com,+1 860-598-4300,10350123,0010d00001MDYyYAAX
Collective Arts Brewing Limited,Food and Beverage Services,10-Feb,ON,http://www.collectiveartsbrewing.com,+1 289-208-7140,3197494,0010d00001MDuBlAAL
BROWN GOLF MANAGEMENT LLC,Hospitality,10-Feb,PA,https://greatlifegolf.com/,+1 717-525-9734,2027874,0010d00001NcNjjAAF
Independent Natural Food Retailers Cooperative,Retail,10-Feb,MN,http://www.naturalfoodretailers.net,+1 651-888-4700,1156087,0010d00001Nf7StAAJ
"Global Risk Solutions, Inc",Insurance,Nov-50,FL,http://www.globalrisksolutions.com,+1 305-523-6365,1752907,0010d00001QvD5VAAV
Proformance Roofing,Construction,Nov-50,FL,https://proformanceroofs.com/,+1 407-702-0206,35684759,0010d00001QvcjWAAR
"Bleav Entertainment, LLC",Spectator Sports,1,CA,https://bleav.com/,+1 323-878-0921,18902135,0010d00001QvcNSAAZ
"American Blue Ribbon Holdings, LLC",Restaurants,5001-10000,NM,http://www.villageinn.jobs,+1 505-821-5900,3238374,0013200001AbsnFAAR
"Shoe Sensation, Inc.",Retail Apparel and Fashion,501-1000,IN,http://www.shoesensation.com,+1 844-891-3070,331756,0016000000m38QcAAI
"Worth Ross & Associates, Inc.",Real Estate,Nov-50,TX,http://www.worthross.com,+1 214-522-1943,781183,0016000000m3EWwAAM
"Nexus Enterprises, LLC",Insurance,51-200,TX,http://www.nexmc.com,+1 888-309-2377,1320065,0016000000m3XmyAAE
Tayco Panelink Ltd,Furniture and Home Furnishings Manufacturing,201-500,ON,http://www.tayco.com,+1 416-252-8000,1134979,0016000000m3fP8AAI
"WASATCH PROPERTY MANAGEMENT, INC.",Real Estate,1001-5000,UT,http://www.wasatchgroup.com/,+1 435-755-2000,86434,0016000000m458IAAQ
Skjodt-Barrett Foods Inc,Food and Beverage Manufacturing,51-200,ON,http://www.skjodt-barrett.com,+1 905-671-2884,1607745,0016000000skQFpAAM
"San Antonio Shoe, Inc.",Retail,1001-5000,TX,http://SASshoes.com,+1 210-924-6561,3653796,0016000000zlaYgAAI
Vantage Bank Texas,Banking,201-500,TX,http://www.vantage.bank,+1 866-580-7262,2422093,0016000000skVWSAA2
"Tdn2k, LLC",Market Research,Nov-50,TX,http://www.blackboxintelligence.com,+1 972-364-0490,2562302,00160000017bqd5AAA
Jeff Ruby Culinary Entertainment,Restaurants,51-200,OH,http://www.jeffruby.com,+1 513-321-8080,1743815,00160000013TqZAAA0
"Clgt Solutions, LLC",Defense and Space Manufacturing,Nov-50,OH,http://www.clgtsolutions.com,+1 614-934-1194,1572042,00160000014BskZAAS
"21st Century Equipment, LLC",Farming,201-500,NE,http://www.21stcenturyequipment.net/Home.aspx,+1 308-262-1110,3802718,0013200001A3oyyAAB
"PHARMACY DATA MANAGEMENT, INC.",Pharmaceutical Manufacturing,51-200,OH,http://www.pdmi.com,+1 855-326-2160,1242190,0016000000m2QXzAAM
